Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-08-10,2275.63,2284.79,2268.38,2277.23,12813345
2021-08-11,2272.93,2283.69,2261.47,2283.69,16177824
2021-08-12,2281.08,2297.72,2277.19,2297.72,16571243
2021-08-13,2298.99,2302.1,2290.22,2302.03,11448729
2021-08-16,2289.95,2297.14,2280.31,2282.1,10658701
2021-08-17,2282.7,2300.04,2279.19,2300.04,15600846
2021-08-18,2300.19,2301.58,2275.03,2284.97,13451422
2021-08-19,2270.18,2270.95,2240.78,2260.02,19682281
2021-08-20,2263.51,2263.51,2247.35,2255.56,14205373
2021-08-23,2264.45,2290.92,2264.45,2287.52,21319939
2021-08-24,2293.79,2300.9,2282.35,2300.9,15731511
2021-08-25,2297.64,2325.19,2291.03,2325.19,13890857
2021-08-26,2321.75,2326.62,2307.66,2309.44,10053150
2021-08-27,2310.63,2323.77,2295.89,2323.77,11842111
2021-08-30,2324.67,2350.93,2324.67,2350.23,13726563
2021-08-31,2347.73,2379.63,2347.73,2368.03,30995839
2021-09-01,2367.66,2387.46,2367.66,2371.16,17987921
2021-09-02,2375.04,2391.94,2363.26,2391.94,18960025
2021-09-03,2392.26,2393.71,2370.71,2380.82,14360842
2021-09-06,2379.29,2416.38,2379.29,2416.38,13169381
2021-09-07,2409.03,2409.1,2388.22,2394.79,14663792
2021-09-08,2390.92,2390.92,2361.41,2364.63,20545556
2021-09-09,2356.6,2361.31,2341.53,2356.39,14503413
2021-09-10,2357.98,2377.01,2357.98,2360.7,16228628
2021-09-13,2365.69,2387.74,2362.83,2387.74,19139286
2021-09-14,2367.42,2381.69,2356.63,2376.01,24377771
2021-09-15,2365.73,2368.41,2348.33,2355.23,27747030
2021-09-16,2351.2,2367.65,2347.03,2357.28,24989579
2021-09-17,2356.48,2359.97,2326.12,2333.01,41813166
2021-09-20,2316.96,2316.96,2259.28,2272.52,29449472
2021-09-21,2271.99,2302.02,2271.94,2278.11,19638093
2021-09-22,2295.39,2335.18,2295.39,2334.1,16127336
2021-09-23,2345.99,2353.45,2315.2,2320.51,20174682
2021-09-24,2323.41,2326.78,2295.88,2299.18,19267646
2021-09-27,2308.17,2314.8,2285.15,2292.47,19100996
2021-09-28,2289.15,2298.68,2270.88,2275.68,18883243
2021-09-29,2277.48,2299.84,2271.6,2290.97,14394570
2021-09-30,2299.33,2314.35,2294.48,2310.29,31180804
2021-10-01,2299.01,2332.78,2284.34,2327.88,20388107
2021-10-04,2325.08,2360.69,2306.16,2338.09,25600481
2021-10-05,2338.92,2365.14,2320.67,2364.72,19716260
2021-10-06,2365.2,2365.2,2329.59,2349.46,27548041
2021-10-07,2353.18,2365.41,2334.37,2359.54,23404742
2021-10-08,2360.56,2415.15,2360.56,2411.12,30327382
2021-10-11,2413.12,2457.36,2409.01,2457.36,24018999
2021-10-12,2449.09,2478.55,2429.66,2472.33,41697156
2021-10-13,2471.12,2473.93,2439.48,2451.89,36421921
2021-10-14,2455.6,2473.32,2447.11,2459.5,35861076
2021-10-15,2459.71,2461.17,2438.38,2453.98,29698253
2021-10-18,2458.45,2474.44,2452.44,2459.81,17268301
2021-10-19,2461.73,2472.34,2438.14,2447.54,21855682
2021-10-20,2447.07,2453.57,2432.33,2443.11,22261931
2021-10-21,2433.75,2433.75,2418.23,2427.35,18086091
2021-10-22,2425.02,2436.87,2412.57,2417.09,16121524
2021-10-25,2415.52,2430.62,2415.52,2427.19,16544470
2021-10-26,2429.41,2442.53,2417.03,2425.29,19904199
2021-10-27,2423.22,2423.22,2389.35,2404.82,22421853
2021-10-28,2405.47,2411.6,2391.93,2392.67,23662933
2021-10-29,2390.05,2421.65,2377.84,2405.05,28465126
2021-11-02,2411.73,2421.09,2388.14,2407.53,30287273
2021-11-03,2411.54,2428.52,2370.99,2380.11,23049938
2021-11-04,2386.85,2441.93,2386.85,2438.8,28526219
2021-11-05,2439.09,2443.77,2419.57,2439.16,23566941
2021-11-08,2444.16,2449.64,2417.29,2423.92,19323862
2021-11-09,2420.42,2423.89,2393.2,2395.05,24497918
2021-11-10,2393.48,2407.83,2355.75,2366.59,25126969
2021-11-12,2372.28,2390.77,2358.23,2358.23,28816948
2021-11-15,2358.49,2384.74,2335.04,2335.04,27794225
2021-11-16,2336.33,2350.13,2333.66,2340.03,22247198
2021-11-17,2346.41,2354.67,2312.13,2317.49,22134015
2021-11-18,2316.9,2316.9,2258.9,2271.31,28223399
2021-11-19,2271.91,2286.37,2221.68,2248.18,34661095
2021-11-22,2251.08,2262.74,2237.64,2247.82,25598302
2021-11-23,2245.04,2268.99,2223.71,2261.15,24009689
2021-11-24,2268.15,2275.74,2230.01,2239.75,20339805
2021-11-25,2244.79,2247.36,2218.45,2229.44,18898128
2021-11-26,2193.9,2193.9,2138.75,2143.13,39403548
2021-11-29,2148.59,2168.81,2120.23,2148.62,31737586
2021-11-30,2133.69,2199.73,2118.81,2194.37,72231286
2021-12-01,2205.85,2229.12,2193.19,2217.18,31391910
2021-12-02,2208.07,2208.07,2179.15,2201.86,28358291
2021-12-03,2209.95,2223.51,2176.74,2179.71,29597003
2021-12-06,2184.6,2199.87,2175.93,2190.67,20254665
2021-12-07,2201.86,2237.32,2201.86,2231.12,32334634
2021-12-08,2234.64,2244.71,2214.4,2219.62,24245574
2021-12-09,2214.59,2237.73,2184.35,2212.81,27976068
